ID Region,Region,ID Comuna,Comuna,ID Administration,Administration,Average PSU,Average NEM,Number of records
1,Tarapacá,5,Alto Hospicio,1,Municipal,459.7980769230769,5.551052639358922,76.0
1,Tarapacá,5,Alto Hospicio,2,Particular Subvencionado,455.5536246276068,5.548646976195079,1289.0
1,Tarapacá,58,Colchane,1,Municipal,370.1666666666667,5.493333339691162,3.0
1,Tarapacá,108,Huara,1,Municipal,378.2307692307692,5.622666613260905,15.0
1,Tarapacá,108,Huara,2,Particular Subvencionado,,5.380000114440918,1.0
1,Tarapacá,113,Iquique,1,Municipal,445.32471264367814,5.56119629453422,877.0
1,Tarapacá,113,Iquique,2,Particular Subvencionado,514.7910216718266,5.680027340222783,2568.0
1,Tarapacá,113,Iquique,3,Particular Pagado,580.5619469026549,5.987235778715553,125.0
1,Tarapacá,113,Iquique,4,Corporación de Administración Delegada,432.49122807017545,5.367945207308416,75.0
1,Tarapacá,217,Pica,1,Municipal,443.55,5.658333321412404,24.0
1,Tarapacá,226,Pozo Almonte,1,Municipal,410.49142857142857,5.6240476131439205,211.0
1,Tarapacá,226,Pozo Almonte,2,Particular Subvencionado,373.0,4.900000095367432,1.0
2,Antofagasta,9,Antofagasta,1,Municipal,446.045598313126,5.5764513455499145,2365.0
2,Antofagasta,9,Antofagasta,2,Particular Subvencionado,520.5209611451943,5.608238491800958,2220.0
2,Antofagasta,9,Antofagasta,3,Particular Pagado,560.5695600475624,5.724391762743291,972.0
2,Antofagasta,19,Calama,1,Municipal,471.03838245373544,5.444533338961394,1734.0
2,Antofagasta,19,Calama,2,Particular Subvencionado,523.3288888888889,5.624281883879796,746.0
2,Antofagasta,19,Calama,3,Particular Pagado,550.8151658767772,5.745797111874535,484.0
2,Antofagasta,165,María Elena,1,Municipal,457.38392857142856,5.894531279802322,64.0
2,Antofagasta,170,Mejillones,1,Municipal,427.7151898734177,5.873052652258622,95.0
2,Antofagasta,297,San Pedro De Atacama,1,Municipal,460.67241379310343,5.5738709357477,32.0
2,Antofagasta,313,Taltal,1,Municipal,440.3235294117647,5.975741958618164,155.0
2,Antofagasta,321,Tocopilla,1,Municipal,392.136,5.475568862732299,167.0
2,Antofagasta,321,Tocopilla,2,Particular Subvencionado,508.27659574468083,5.653047629765102,105.0
3,Atacama,4,Alto Del Carmen,1,Municipal,447.9761904761905,5.583478264186693,23.0
3,Atacama,21,Caldera,1,Municipal,400.18518518518516,5.370857150214059,71.0
3,Atacama,21,Caldera,2,Particular Subvencionado,474.6082474226804,5.546363644166426,110.0
3,Atacama,39,Chañaral,1,Municipal,455.2,5.785590558540164,127.0
3,Atacama,39,Chañaral,2,Particular Subvencionado,449.42857142857144,5.8105555640326605,18.0
3,Atacama,68,Copiapó,1,Municipal,449.29201934703747,5.380735446045421,986.0
3,Atacama,68,Copiapó,2,Particular Subvencionado,519.5755968169761,5.521198772775602,1296.0
3,Atacama,68,Copiapó,3,Particular Pagado,619.9436090225564,6.02069181166355,159.0
3,Atacama,81,Diego De Almagro,1,Municipal,475.68333333333334,5.785092623145492,108.0
3,Atacama,81,Diego De Almagro,2,Particular Subvencionado,497.55371900826447,5.73225354140913,142.0
3,Atacama,93,Freirina,1,Municipal,434.6896551724138,5.842258114968577,32.0
3,Atacama,109,Huasco,1,Municipal,429.3357142857143,5.782073166312241,82.0
3,Atacama,317,Tierra Amarilla,1,Municipal,401.35057471264366,5.545999993218316,135.0
3,Atacama,330,Vallenar,1,Municipal,429.9808102345416,5.613992942938114,567.0
3,Atacama,330,Vallenar,2,Particular Subvencionado,541.347280334728,5.7970000267028805,261.0
3,Atacama,330,Vallenar,3,Particular Pagado,634.8939393939394,6.220285715375628,35.0
4,Coquimbo,7,Andacollo,1,Municipal,442.38392857142856,5.504062548279762,64.0
4,Coquimbo,7,Andacollo,2,Particular Subvencionado,461.1216216216216,5.6418421268463135,38.0
4,Coquimbo,27,Canela,1,Municipal,433.2717391304348,5.97137253892188,51.0
4,Coquimbo,62,Combarbalá,1,Municipal,446.020325203252,5.654964038793989,139.0
4,Coquimbo,62,Combarbalá,2,Particular Subvencionado,445.1521739130435,5.830384602913489,26.0
4,Coquimbo,69,Coquimbo,1,Municipal,457.10709504685406,5.478459904410622,937.0
4,Coquimbo,69,Coquimbo,2,Particular Subvencionado,489.8206465067779,5.550480220094157,2260.0
4,Coquimbo,111,Illapel,1,Municipal,433.04285714285714,5.561451116194861,318.0
4,Coquimbo,111,Illapel,2,Particular Subvencionado,509.8618784530387,5.701887760843549,196.0
4,Coquimbo,122,La Higuera,1,Municipal,364.5,5.5,1.0
4,Coquimbo,126,La Serena,1,Municipal,449.79542203147355,5.518267388267313,940.0
4,Coquimbo,126,La Serena,2,Particular Subvencionado,522.8511744966443,5.60361790650025,3404.0
4,Coquimbo,126,La Serena,3,Particular Pagado,590.3360655737705,5.869111580296981,485.0
4,Coquimbo,156,Los Vilos,1,Municipal,439.31404958677683,5.686275866935993,145.0
4,Coquimbo,156,Los Vilos,2,Particular Subvencionado,480.7654867256637,5.679062508046627,128.0
4,Coquimbo,174,Monte Patria,1,Municipal,445.0147058823529,5.611818191433741,121.0
4,Coquimbo,174,Monte Patria,2,Particular Subvencionado,470.6931818181818,5.446862753699808,51.0
4,Coquimbo,192,Ovalle,1,Municipal,459.64901664145236,5.5805471534640185,863.0
4,Coquimbo,192,Ovalle,2,Particular Subvencionado,516.9064824654623,5.640801112735249,1088.0
4,Coquimbo,192,Ovalle,3,Particular Pagado,645.1818181818181,6.012765955417715,47.0
4,Coquimbo,192,Ovalle,4,Corporación de Administración Delegada,427.0729166666667,5.201904766143314,63.0
4,Coquimbo,195,Paihuano,1,Municipal,414.72222222222223,5.460370416994448,27.0
4,Coquimbo,237,Punitaqui,1,Municipal,405.0,5.412586195715543,58.0
4,Coquimbo,237,Punitaqui,2,Particular Subvencionado,507.3333333333333,5.426842087193539,19.0
4,Coquimbo,271,Rio Hurtado,1,Municipal,403.2073170731707,5.4480851153109935,47.0
4,Coquimbo,278,Salamanca,1,Municipal,445.1985294117647,5.648461580276489,78.0
4,Coquimbo,278,Salamanca,2,Particular Subvencionado,480.35537190082647,5.711368825499096,263.0
4,Coquimbo,334,Vicuña,1,Municipal,418.5568181818182,5.460467302910636,107.0
4,Coquimbo,334,Vicuña,2,Particular Subvencionado,468.54146341463417,5.755910939050589,249.0
5,Valparaíso,1,Algarrobo,1,Municipal,434.8414634146341,5.5112244790914104,99.0
5,Valparaíso,1,Algarrobo,2,Particular Subvencionado,503.1818181818182,5.648000024159749,75.0
5,Valparaíso,16,Cabildo,1,Municipal,431.0894308943089,5.558678569112505,283.0
5,Valparaíso,16,Cabildo,2,Particular Subvencionado,544.2592592592592,5.7269491583614025,118.0
5,Valparaíso,22,Calera,1,Municipal,395.5217391304348,5.281811603601428,140.0
5,Valparaíso,22,Calera,2,Particular Subvencionado,514.4387755102041,5.691068710261629,530.0
5,Valparaíso,22,Calera,3,Particular Pagado,552.0079365079365,6.170307716956505,65.0
5,Valparaíso,22,Calera,4,Corporación de Administración Delegada,451.6465517241379,5.278455895536086,136.0
5,Valparaíso,24,Calle Larga,1,Municipal,401.8888888888889,5.032926850202607,41.0
5,Valparaíso,24,Calle Larga,2,Particular Subvencionado,455.06976744186045,5.467058817545573,51.0
5,Valparaíso,24,Calle Larga,3,Particular Pagado,588.3157894736842,6.04000000520186,22.0
5,Valparaíso,30,Cartagena,1,Municipal,427.2056074766355,5.593650806517828,126.0
5,Valparaíso,30,Cartagena,2,Particular Subvencionado,476.7919075144509,5.561157891624852,191.0
5,Valparaíso,31,Casablanca,1,Municipal,424.20081967213116,5.56924813851378,134.0
5,Valparaíso,31,Casablanca,2,Particular Subvencionado,486.7429906542056,5.67616666952769,243.0
5,Valparaíso,31,Casablanca,3,Particular Pagado,575.25,5.625,2.0
5,Valparaíso,33,Catemu,1,Municipal,391.34507042253523,5.390666669209798,75.0
5,Valparaíso,33,Catemu,2,Particular Subvencionado,433.625,5.475555594005282,63.0
5,Valparaíso,63,Con Cón,1,Municipal,416.8181818181818,5.5600000235993985,61.0
5,Valparaíso,63,Con Cón,2,Particular Subvencionado,537.3333333333334,5.758161292537566,310.0
5,Valparaíso,63,Con Cón,3,Particular Pagado,636.4070796460177,6.153615364661584,131.0
5,Valparaíso,86,El Quisco,1,Municipal,446.8333333333333,5.447692311727083,52.0
5,Valparaíso,86,El Quisco,2,Particular Subvencionado,495.02941176470586,5.592894742363377,38.0
5,Valparaíso,87,El Tabo,1,Municipal,433.90909090909093,5.541944450802273,36.0
5,Valparaíso,87,El Tabo,2,Particular Subvencionado,418.9852941176471,5.336607141154153,56.0
5,Valparaíso,103,Hijuelas,1,Municipal,424.47701149425285,5.557722780964162,102.0
5,Valparaíso,103,Hijuelas,2,Particular Subvencionado,503.9671052631579,5.81915664098349,83.0
5,Valparaíso,115,Isla De Pascua,1,Municipal,411.2173913043478,5.474571411950247,71.0
5,Valparaíso,115,Isla De Pascua,2,Particular Subvencionado,516.8942307692307,5.842727253653786,55.0
5,Valparaíso,116,Juan Fernandez,1,Municipal,467.65,5.643636443398216,11.0
5,Valparaíso,118,La Cruz,1,Municipal,424.8968253968254,5.485342469933915,74.0
5,Valparaíso,118,La Cruz,2,Particular Subvencionado,455.8225806451613,5.503676456563613,69.0
5,Valparaíso,123,La Ligua,1,Municipal,430.1809701492537,5.5395114087903154,308.0
5,Valparaíso,123,La Ligua,2,Particular Subvencionado,519.9839285714286,5.730827821011575,304.0
5,Valparaíso,138,Limache,1,Municipal,431.22429906542055,5.458666684892442,136.0
5,Valparaíso,138,Limache,2,Particular Subvencionado,474.0893854748603,5.543849777167951,641.0
5,Valparaíso,142,Llay Llay,1,Municipal,464.33660130718954,5.636358409947743,173.0
5,Valparaíso,142,Llay Llay,2,Particular Subvencionado,472.0422535211268,5.521898740454565,81.0
